Book,Question,Option1,Option2,Option3,Option4,CorrectAnswer,Points
Joshua,Who was Joshua's father?,Nun,Caleb,Moses,Aaron,0,10
Joshua,How many days did the Israelites march around Jericho?,7,6,40,12,1,10
Joshua,What did Rahab use to help the spies escape?,A rope,A secret tunnel,A red cord,A disguise,2,15
1 Kings,Who was Solomon's mother?,Bathsheba,Abishag,Jezebel,Hannah,0,10
1 Kings,How many years did it take to build the temple?,7,40,12,20,0,10
1 Kings,What was the first miracle Elijah performed?,Raising the widow's son,Calling fire from heaven,Drought for 3 years,Parting the Jordan,2,15
Proverbs,What is the beginning of wisdom?,The fear of the Lord,Understanding,Knowledge,Discipline,0,10
Proverbs,Who wrote most of the Proverbs?,Solomon,David,Hezekiah,Agur,0,10
Proverbs,What is better than gold?,Wisdom,Silver,Rubies,Understanding,0,15
Romans,Who wrote the book of Romans?,Paul,Peter,John,Luke,0,10
Romans,What is the wages of sin?,Death,Suffering,Separation from God,Eternal punishment,0,10
Romans,What are we justified by?,Faith,Works,Grace,The Law,0,15
James,Who wrote the book of James?,James brother of Jesus,James son of Zebedee,James son of Alphaeus,James the Less,0,10
James,What is faith without works?,Dead,Useless,Incomplete,Hypocrisy,0,10
James,What can no man tame?,The tongue,The heart,The flesh,The mind,0,15
General Bible Knowledge,How many books are in the Bible?,66,73,39,27,0,10
General Bible Knowledge,What is the first book of the Bible?,Genesis,Exodus,Matthew,John,0,10
General Bible Knowledge,Who was thrown into a lion's den?,Daniel,David,Samson,Jonah,0,15
